"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Tue Sep 08 12:47:04 UTC 2026","Tue Sep 08 12:47:04 UTC 2026","15","","com.jk.qurilishnazorat.rest.SearchTests.BoundaryTests","","com.jk.qurilishnazorat.rest.SearchTests$BoundaryTests","singleCharQuery_returns200WithEmptyItems","Single-character query returns 200 with empty items","A 1-char 'q' is below the minimum — server returns 200 with items=[], DB is not queried."
"failed","Tue Sep 08 12:47:04 UTC 2026","Tue Sep 08 12:47:04 UTC 2026","12","","com.jk.qurilishnazorat.rest.NotificationTests.CachingTests","","com.jk.qurilishnazorat.rest.NotificationTests$CachingTests","getNotifications_responseHasETagHeader","Response includes an ETag header","All public GETs must return an ETag header for conditional request support."
"failed","Tue Sep 08 12:47:04 UTC 2026","Tue Sep 08 12:47:04 UTC 2026","14","","com.jk.qurilishnazorat.rest.YaqinQurilishlarTests.HeaderTests","","com.jk.qurilishnazorat.rest.YaqinQurilishlarTests$HeaderTests","getCloseConstructions_hasRateLimitHeaders","Response includes all X-RateLimit-* headers","Server must return X-RateLimit-Limit, X-RateLimit-Remaining and X-RateLimit-Reset."
"failed","Tue Sep 08 12:47:03 UTC 2026","Tue Sep 08 12:47:03 UTC 2026","17","","com.jk.qurilishnazorat.rest.DistrictSummaryTests.DataIntegrityTests","","com.jk.qurilishnazorat.rest.DistrictSummaryTests$DataIntegrityTests","getDistrictSummary_districtNamesAreUniqueAndNonBlank","Each district name is unique and non-blank","No two districts should share the same name and no name may be blank."
"failed","Tue Sep 08 12:47:04 UTC 2026","Tue Sep 08 12:47:04 UTC 2026","16","","com.jk.qurilishnazorat.rest.YaqinQurilishlarTests.HappyPathTests","","com.jk.qurilishnazorat.rest.YaqinQurilishlarTests$HappyPathTests","getCloseConstructions_ValidIssueLevel_returns200","Valid issueLevel filter returns 200 and all items match issueLevel=HAS_ISSUES → 200, items match","When a valid issueLevel is provided, all returned items must match that level."
"failed","Tue Sep 08 12:47:03 UTC 2026","Tue Sep 08 12:47:03 UTC 2026","484","","com.jk.qurilishnazorat.rest.DistrictSummaryTests.HeaderTests","","com.jk.qurilishnazorat.rest.DistrictSummaryTests$HeaderTests","getDistrictSummary_hasRateLimitHeaders","Response includes all X-RateLimit-* headers","Server must return X-RateLimit-Limit, X-RateLimit-Remaining and X-RateLimit-Reset."
"failed","Tue Sep 08 12:47:04 UTC 2026","Tue Sep 08 12:47:04 UTC 2026","16","","com.jk.qurilishnazorat.rest.YaqinQurilishlarTests.HappyPathTests","","com.jk.qurilishnazorat.rest.YaqinQurilishlarTests$HappyPathTests","getCloseConstructions_ValidLegalStatuses_returns200","Valid legalStatus filter returns 200 and all items match legalStatus=COURT_RULED_ILLEGAL → 200, items match","When a valid legalStatus is provided, all returned items must match that status."
"failed","Tue Sep 08 12:47:04 UTC 2026","Tue Sep 08 12:47:04 UTC 2026","12","","com.jk.qurilishnazorat.rest.YaqinQurilishlarTests.HappyPathTests","","com.jk.qurilishnazorat.rest.YaqinQurilishlarTests$HappyPathTests","getCloseConstructions_ValidLegalStatuses_returns200","Valid legalStatus filter returns 200 and all items match legalStatus=DEMOLISHED → 200, items match","When a valid legalStatus is provided, all returned items must match that status."
"failed","Tue Sep 08 12:47:04 UTC 2026","Tue Sep 08 12:47:04 UTC 2026","13","","com.jk.qurilishnazorat.rest.NotificationTests.HeaderTests","","com.jk.qurilishnazorat.rest.NotificationTests$HeaderTests","getNotifications_hasRateLimitHeaders","Response includes all X-RateLimit-* headers","Server must return X-RateLimit-Limit, X-RateLimit-Remaining and X-RateLimit-Reset."
"failed","Tue Sep 08 12:47:04 UTC 2026","Tue Sep 08 12:47:04 UTC 2026","11","","com.jk.qurilishnazorat.rest.YaqinQurilishlarTests.HappyPathTests","","com.jk.qurilishnazorat.rest.YaqinQurilishlarTests$HappyPathTests","getCloseConstructions_ValidIssueLevel_returns200","Valid issueLevel filter returns 200 and all items match issueLevel=NO_ISSUES → 200, items match","When a valid issueLevel is provided, all returned items must match that level."
"failed","Tue Sep 08 12:47:04 UTC 2026","Tue Sep 08 12:47:04 UTC 2026","13","","com.jk.qurilishnazorat.rest.YaqinQurilishlarTests.NegativeTests","","com.jk.qurilishnazorat.rest.YaqinQurilishlarTests$NegativeTests","getCloseConstructions_InvalidLegalStatus_returns400","Invalid legalStatus returns 400","An unrecognised enum value for legalStatus should return 400 Bad Request."
"failed","Tue Sep 08 12:47:04 UTC 2026","Tue Sep 08 12:47:04 UTC 2026","14","","com.jk.qurilishnazorat.rest.YaqinQurilishlarTests.HappyPathTests","","com.jk.qurilishnazorat.rest.YaqinQurilishlarTests$HappyPathTests","shouldReturn200_itemsSortedByDistanceAscending","Items are sorted by distanceM ascending (nearest first)","API contract: results ordered nearest → farthest. distanceM must be non-decreasing."
"failed","Tue Sep 08 12:47:05 UTC 2026","Tue Sep 08 12:47:05 UTC 2026","10","","com.jk.qurilishnazorat.rest.NotificationTests.PaginationTests","","com.jk.qurilishnazorat.rest.NotificationTests$PaginationTests","getNotifications_withValidCursor_returnsNextPage","Using nextCursor fetches the next page with different items","Two-step cursor pagination test:
1. Fetch page 1 (size=2) → capture nextCursor + item IDs.
2. Fetch page 2 using that cursor → verify items are different from page 1.
"
"failed","Tue Sep 08 12:47:04 UTC 2026","Tue Sep 08 12:47:04 UTC 2026","13","","com.jk.qurilishnazorat.rest.YaqinQurilishlarTests.CachingTests","","com.jk.qurilishnazorat.rest.YaqinQurilishlarTests$CachingTests","getCloseConstructions_responseHasETagHeader","Response includes an ETag header","A valid request must include an ETag header in the response."
"failed","Tue Sep 08 12:47:04 UTC 2026","Tue Sep 08 12:47:04 UTC 2026","13","","com.jk.qurilishnazorat.rest.NotificationTests.PaginationTests","","com.jk.qurilishnazorat.rest.NotificationTests$PaginationTests","getNotifications_invalidSize_returns400","Invalid size values return 400 size=51 → 400 Bad Request","size must be 1–50. Values outside this range must return 400 Bad Request."
"failed","Tue Sep 08 12:47:04 UTC 2026","Tue Sep 08 12:47:04 UTC 2026","14","","com.jk.qurilishnazorat.rest.YaqinQurilishlarTests.NegativeTests","","com.jk.qurilishnazorat.rest.YaqinQurilishlarTests$NegativeTests","getCloseConstructions_InvalidRadius_returns400","radiusM out of range returns 400 radiusM=0 → 400","radiusM must be 100–50000. Values outside this range must return 400 — use RFC 9457 structure, not exact message text."
"failed","Tue Sep 08 12:47:04 UTC 2026","Tue Sep 08 12:47:04 UTC 2026","15","","com.jk.qurilishnazorat.rest.YaqinQurilishlarTests.NegativeTests","","com.jk.qurilishnazorat.rest.YaqinQurilishlarTests$NegativeTests","getCloseConstructions_InvalidCoordinates_returns400","Out-of-range coordinates return 400 lat=999, lng=69.24 → 400","lat must be -90..90 and lng must be -180..180. Values outside these ranges must return 400."
"failed","Tue Sep 08 12:47:04 UTC 2026","Tue Sep 08 12:47:04 UTC 2026","12","","com.jk.qurilishnazorat.rest.YaqinQurilishlarTests.HappyPathTests","","com.jk.qurilishnazorat.rest.YaqinQurilishlarTests$HappyPathTests","shouldReturn200_itemsHaveRequiredFields","Each item has all required fields","Every item must contain id, name, lat, lng, issueLevel and distanceM."
"failed","Tue Sep 08 12:47:04 UTC 2026","Tue Sep 08 12:47:04 UTC 2026","12","","com.jk.qurilishnazorat.rest.YaqinQurilishlarTests.NegativeTests","","com.jk.qurilishnazorat.rest.YaqinQurilishlarTests$NegativeTests","getCloseConstructions_MissingLng_returns400","Missing lng returns 400","lng is required. Omitting it should return 400 Bad Request."
"failed","Tue Sep 08 12:47:04 UTC 2026","Tue Sep 08 12:47:04 UTC 2026","29","","com.jk.qurilishnazorat.rest.SearchTests.HappyPathTests","","com.jk.qurilishnazorat.rest.SearchTests$HappyPathTests","cyrillicAndCaseVariants_return200","Cyrillic and mixed-case queries are handled correctly query='Тошкент' → 200 with items array",""
"failed","Tue Sep 08 12:47:04 UTC 2026","Tue Sep 08 12:47:04 UTC 2026","14","","com.jk.qurilishnazorat.rest.YaqinQurilishlarTests.NegativeTests","","com.jk.qurilishnazorat.rest.YaqinQurilishlarTests$NegativeTests","getCloseConstructions_MissingBothCoordinates_returns400","Missing both lat and lng returns 400","Both lat and lng are required. Omitting both should return 400."
"failed","Tue Sep 08 12:47:03 UTC 2026","Tue Sep 08 12:47:03 UTC 2026","14","","com.jk.qurilishnazorat.rest.DistrictSummaryTests.HappyPathTests","","com.jk.qurilishnazorat.rest.DistrictSummaryTests$HappyPathTests","getDistrictSummary_allCountsAreNonNegative","All count fields are non-negative integers","All 5 counter fields (totalCount + 4 sub-counts) must be >= 0 for every district."
"failed","Tue Sep 08 12:47:04 UTC 2026","Tue Sep 08 12:47:04 UTC 2026","13","","com.jk.qurilishnazorat.rest.YaqinQurilishlarTests.NegativeTests","","com.jk.qurilishnazorat.rest.YaqinQurilishlarTests$NegativeTests","getCloseConstructions_InvalidRadius_returns400","radiusM out of range returns 400 radiusM=99 → 400","radiusM must be 100–50000. Values outside this range must return 400 — use RFC 9457 structure, not exact message text."
"failed","Tue Sep 08 12:47:04 UTC 2026","Tue Sep 08 12:47:04 UTC 2026","12","","com.jk.qurilishnazorat.rest.YaqinQurilishlarTests.BoundaryCases","","com.jk.qurilishnazorat.rest.YaqinQurilishlarTests$BoundaryCases","getCloseConstructions_EdgeRadiusValues_returns200","Edge radiusM values (100, 50000) return 200 and radiusM is echoed radiusM=50000 → 200, radiusM echoed","Edge values for radiusM (100 and 50000) must be accepted and echoed back in the response."
"failed","Tue Sep 08 12:47:04 UTC 2026","Tue Sep 08 12:47:04 UTC 2026","12","","com.jk.qurilishnazorat.rest.YaqinQurilishlarTests.NegativeTests","","com.jk.qurilishnazorat.rest.YaqinQurilishlarTests$NegativeTests","getCloseConstructions_InvalidLimit_returns400","limit out of range returns 400 limit=100 → 400","limit must be 1–50. Values outside this range must return 400."
"failed","Tue Sep 08 12:47:03 UTC 2026","Tue Sep 08 12:47:03 UTC 2026","18","","com.jk.qurilishnazorat.rest.DistrictSummaryTests.CachingTests","","com.jk.qurilishnazorat.rest.DistrictSummaryTests$CachingTests","getDistrictSummary_hasETagHeader","Response includes an ETag header","All public GETs must return an ETag header for conditional request support."
"failed","Tue Sep 08 12:47:05 UTC 2026","Tue Sep 08 12:47:05 UTC 2026","9","","com.jk.qurilishnazorat.rest.NotificationTests.PaginationTests","","com.jk.qurilishnazorat.rest.NotificationTests$PaginationTests","getNotifications_maxSize50_returnsAtMost50Items","size=50 (maximum) returns at most 50 items","Maximum allowed page size is 50 — server must not exceed it."
"failed","Tue Sep 08 12:47:04 UTC 2026","Tue Sep 08 12:47:04 UTC 2026","14","","com.jk.qurilishnazorat.rest.YaqinQurilishlarTests.HappyPathTests","","com.jk.qurilishnazorat.rest.YaqinQurilishlarTests$HappyPathTests","getCloseConstructions_CombinedFilters_returns200AndItemsMatchBoth","Combined issueLevel + legalStatus filters return 200 and all items match both","Both filters applied together — every item must satisfy both constraints simultaneously."
"failed","Tue Sep 08 12:47:04 UTC 2026","Tue Sep 08 12:47:04 UTC 2026","17","","com.jk.qurilishnazorat.rest.SearchTests.BoundaryTests","","com.jk.qurilishnazorat.rest.SearchTests$BoundaryTests","queryOver100Chars_isTruncatedNotRejected","Query over 100 chars is truncated silently — returns 200, NOT 400","API docs state: queries over 100 chars are silently truncated, not rejected with 400."
"failed","Tue Sep 08 12:47:03 UTC 2026","Tue Sep 08 12:47:03 UTC 2026","16","","com.jk.qurilishnazorat.rest.DistrictSummaryTests.HappyPathTests","","com.jk.qurilishnazorat.rest.DistrictSummaryTests$HappyPathTests","getDistrictSummary_returns200WithItems","Returns 200 with a non-empty items array","A plain request must return 200 and a non-empty items array — districts always exist."
"failed","Tue Sep 08 12:47:04 UTC 2026","Tue Sep 08 12:47:04 UTC 2026","13","","com.jk.qurilishnazorat.rest.YaqinQurilishlarTests.HappyPathTests","","com.jk.qurilishnazorat.rest.YaqinQurilishlarTests$HappyPathTests","getCloseConstructions_ValidIssueLevel_returns200","Valid issueLevel filter returns 200 and all items match issueLevel=PARTIAL_ISSUES → 200, items match","When a valid issueLevel is provided, all returned items must match that level."
"failed","Tue Sep 08 12:47:04 UTC 2026","Tue Sep 08 12:47:04 UTC 2026","11","","com.jk.qurilishnazorat.rest.SearchTests.CachingTests","","com.jk.qurilishnazorat.rest.SearchTests$CachingTests","response_hasETagHeader","Response includes an ETag header","All public GETs must return an ETag header for conditional request support."
"failed","Tue Sep 08 12:47:04 UTC 2026","Tue Sep 08 12:47:04 UTC 2026","13","","com.jk.qurilishnazorat.rest.SearchTests.HeaderTests","","com.jk.qurilishnazorat.rest.SearchTests$HeaderTests","response_hasRateLimitHeaders","Response includes all X-RateLimit-* headers","Server must return X-RateLimit-Limit, X-RateLimit-Remaining and X-RateLimit-Reset on every response."
"failed","Tue Sep 08 12:47:04 UTC 2026","Tue Sep 08 12:47:04 UTC 2026","16","","com.jk.qurilishnazorat.rest.YaqinQurilishlarTests.HappyPathTests","","com.jk.qurilishnazorat.rest.YaqinQurilishlarTests$HappyPathTests","shouldReturn200_WithValidRadius","Custom radiusM is echoed back in the response","When a valid radiusM is provided, server should echo it back and return 200."
"failed","Tue Sep 08 12:47:04 UTC 2026","Tue Sep 08 12:47:04 UTC 2026","13","","com.jk.qurilishnazorat.rest.SearchTests.HappyPathTests","","com.jk.qurilishnazorat.rest.SearchTests$HappyPathTests","suggestions_haveRequiredFields","Each suggestion has required fields: type, id, label","Every item in the response must contain 'type', 'id', and 'label' fields."
"failed","Tue Sep 08 12:47:04 UTC 2026","Tue Sep 08 12:47:04 UTC 2026","22","","com.jk.qurilishnazorat.rest.SearchTests.BoundaryTests","","com.jk.qurilishnazorat.rest.SearchTests$BoundaryTests","validQuery_returnsAtMost10Results","Valid query returns at most 10 suggestions","The API must never return more than 10 results regardless of how many match."
"failed","Tue Sep 08 12:47:04 UTC 2026","Tue Sep 08 12:47:04 UTC 2026","14","","com.jk.qurilishnazorat.rest.YaqinQurilishlarTests.NegativeTests","","com.jk.qurilishnazorat.rest.YaqinQurilishlarTests$NegativeTests","getCloseConstructions_InvalidRadius_returns400","radiusM out of range returns 400 radiusM=50001 → 400","radiusM must be 100–50000. Values outside this range must return 400 — use RFC 9457 structure, not exact message text."
"failed","Tue Sep 08 12:47:04 UTC 2026","Tue Sep 08 12:47:04 UTC 2026","13","","com.jk.qurilishnazorat.rest.SearchTests.HappyPathTests","","com.jk.qurilishnazorat.rest.SearchTests$HappyPathTests","cyrillicAndCaseVariants_return200","Cyrillic and mixed-case queries are handled correctly query='TOSHKENT' → 200 with items array",""
"failed","Tue Sep 08 12:47:04 UTC 2026","Tue Sep 08 12:47:04 UTC 2026","10","","com.jk.qurilishnazorat.rest.YaqinQurilishlarTests.HappyPathTests","","com.jk.qurilishnazorat.rest.YaqinQurilishlarTests$HappyPathTests","getCloseConstructions_ValidLegalStatuses_returns200","Valid legalStatus filter returns 200 and all items match legalStatus=UNDER_REVIEW → 200, items match","When a valid legalStatus is provided, all returned items must match that status."
"failed","Tue Sep 08 12:47:04 UTC 2026","Tue Sep 08 12:47:04 UTC 2026","16","","com.jk.qurilishnazorat.rest.YaqinQurilishlarTests.BoundaryCases","","com.jk.qurilishnazorat.rest.YaqinQurilishlarTests$BoundaryCases","getCloseConstructions_hasMoreFalse_WhenFewerItemsThanLimit","hasMore=true only when items.size() == limit and total > limit","If fewer items than limit are returned, hasMore must be false."
"failed","Tue Sep 08 12:47:04 UTC 2026","Tue Sep 08 12:47:04 UTC 2026","12","","com.jk.qurilishnazorat.rest.YaqinQurilishlarTests.NegativeTests","","com.jk.qurilishnazorat.rest.YaqinQurilishlarTests$NegativeTests","getCloseConstructions_InvalidRadius_returns400","radiusM out of range returns 400 radiusM=-100 → 400","radiusM must be 100–50000. Values outside this range must return 400 — use RFC 9457 structure, not exact message text."
"failed","Tue Sep 08 12:47:03 UTC 2026","Tue Sep 08 12:47:03 UTC 2026","22","","com.jk.qurilishnazorat.rest.DistrictSummaryTests.DataIntegrityTests","","com.jk.qurilishnazorat.rest.DistrictSummaryTests$DataIntegrityTests","getDistrictSummary_districtIdsAreUnique","Each district id is unique","No two districts in the response should share the same id."
"failed","Tue Sep 08 12:47:04 UTC 2026","Tue Sep 08 12:47:04 UTC 2026","13","","com.jk.qurilishnazorat.rest.NotificationTests.PaginationTests","","com.jk.qurilishnazorat.rest.NotificationTests$PaginationTests","getNotifications_invalidSize_returns400","Invalid size values return 400 size=-1 → 400 Bad Request","size must be 1–50. Values outside this range must return 400 Bad Request."
"failed","Tue Sep 08 12:47:04 UTC 2026","Tue Sep 08 12:47:04 UTC 2026","12","","com.jk.qurilishnazorat.rest.YaqinQurilishlarTests.HappyPathTests","","com.jk.qurilishnazorat.rest.YaqinQurilishlarTests$HappyPathTests","getCloseConstructions_ValidLegalStatuses_returns200","Valid legalStatus filter returns 200 and all items match legalStatus=IN_COURT → 200, items match","When a valid legalStatus is provided, all returned items must match that status."
"failed","Tue Sep 08 12:47:05 UTC 2026","Tue Sep 08 12:47:05 UTC 2026","11","","com.jk.qurilishnazorat.rest.NotificationTests.HappyPathTests","","com.jk.qurilishnazorat.rest.NotificationTests$HappyPathTests","getNotifications_itemsHaveRequiredFields","Each notification item has all required fields","Every item must contain: id, type, title, body, publishedAt."
"failed","Tue Sep 08 12:47:04 UTC 2026","Tue Sep 08 12:47:04 UTC 2026","14","","com.jk.qurilishnazorat.rest.YaqinQurilishlarTests.BoundaryCases","","com.jk.qurilishnazorat.rest.YaqinQurilishlarTests$BoundaryCases","shouldReturn200_WhenLimitIsEdgeValue","Edge limit values (1, 50) return 200 and items.size() <= limit limit=50 → 200, items.size() <= 50","Edge values for limit (1 and 50) must be accepted and items.size() must not exceed the limit."
"failed","Tue Sep 08 12:47:04 UTC 2026","Tue Sep 08 12:47:04 UTC 2026","16","","com.jk.qurilishnazorat.rest.SearchTests.HappyPathTests","","com.jk.qurilishnazorat.rest.SearchTests$HappyPathTests","missingQParam_returns200","Missing 'q' parameter returns 200","'q' is optional — omitting it should return 200 OK with items array."
"failed","Tue Sep 08 12:47:04 UTC 2026","Tue Sep 08 12:47:04 UTC 2026","16","","com.jk.qurilishnazorat.rest.YaqinQurilishlarTests.BoundaryCases","","com.jk.qurilishnazorat.rest.YaqinQurilishlarTests$BoundaryCases","shouldReturn200_WhenLimitIsEdgeValue","Edge limit values (1, 50) return 200 and items.size() <= limit limit=1 → 200, items.size() <= 1","Edge values for limit (1 and 50) must be accepted and items.size() must not exceed the limit."
"failed","Tue Sep 08 12:47:04 UTC 2026","Tue Sep 08 12:47:04 UTC 2026","14","","com.jk.qurilishnazorat.rest.YaqinQurilishlarTests.CachingTests","","com.jk.qurilishnazorat.rest.YaqinQurilishlarTests$CachingTests","getCloseConstructions_matchingETag_returns304","Matching If-None-Match returns 304","Re-sending with If-None-Match set to the previous ETag must return 304 Not Modified."
"failed","Tue Sep 08 12:47:05 UTC 2026","Tue Sep 08 12:47:05 UTC 2026","11","","com.jk.qurilishnazorat.rest.NotificationTests.HappyPathTests","","com.jk.qurilishnazorat.rest.NotificationTests$HappyPathTests","getNotifications_publishedAtIsValidIso8601","publishedAt values are valid ISO-8601 UTC timestamps","Every item's publishedAt must be parseable as an ISO-8601 instant ending in 'Z'."
"failed","Tue Sep 08 12:47:04 UTC 2026","Tue Sep 08 12:47:04 UTC 2026","12","","com.jk.qurilishnazorat.rest.NotificationTests.CachingTests","","com.jk.qurilishnazorat.rest.NotificationTests$CachingTests","getNotifications_matchingETag_returns304","Matching If-None-Match returns 304 with no body","Send the ETag back in If-None-Match — server must respond 304 Not Modified."
"failed","Tue Sep 08 12:47:05 UTC 2026","Tue Sep 08 12:47:05 UTC 2026","13","","com.jk.qurilishnazorat.rest.NotificationTests.HappyPathTests","","com.jk.qurilishnazorat.rest.NotificationTests$HappyPathTests","getNotifications_returns200WithValidBody","Returns 200 with a valid response body","A plain request with no params must return 200 and a well-formed JSON body."
"failed","Tue Sep 08 12:47:04 UTC 2026","Tue Sep 08 12:47:05 UTC 2026","11","","com.jk.qurilishnazorat.rest.NotificationTests.PaginationTests","","com.jk.qurilishnazorat.rest.NotificationTests$PaginationTests","getNotifications_customSize_returnsCorrectItemCount","size=5 returns at most 5 items","Custom size param must be respected — response must contain <= requested size."
"failed","Tue Sep 08 12:47:05 UTC 2026","Tue Sep 08 12:47:05 UTC 2026","14","","com.jk.qurilishnazorat.rest.NotificationTests.PaginationTests","","com.jk.qurilishnazorat.rest.NotificationTests$PaginationTests","getNotifications_nextCursorAndHasMoreAreConsistent","nextCursor and hasMore are consistent","When hasMore=true nextCursor must not be null, and vice versa."
"failed","Tue Sep 08 12:47:04 UTC 2026","Tue Sep 08 12:47:04 UTC 2026","12","","com.jk.qurilishnazorat.rest.NotificationTests.PaginationTests","","com.jk.qurilishnazorat.rest.NotificationTests$PaginationTests","getNotifications_invalidSize_returns400","Invalid size values return 400 size=100 → 400 Bad Request","size must be 1–50. Values outside this range must return 400 Bad Request."
